"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"Adamts1"	0.767184887446658	3.20036875071606	7.55565940960754	7.93119442109367e-10	1.01322594968356e-07	12.3145159679932
"Fcgbp"	-1.42818587488533	2.33059703717848	-7.55231415895934	8.02712011112476e-10	1.01734191313136e-07	12.2611528353877
"Igbp1b"	-1.70246043673683	0.480942637513486	-7.61141014007837	6.4916878406026e-10	8.63881359388192e-08	12.1723008591978
"Mthfd1l"	0.397152904422164	5.33911697605114	7.57054202359794	7.51818393745339e-10	9.76080319489375e-08	12.163119925462
"Pkig"	-0.394005924117137	6.01769521463565	-7.5731273030715	7.44867176722656e-10	9.74982290580664e-08	12.1185917015816
"Scml4"	-0.778394812758723	2.83576882609813	-7.49821966983103	9.75031507492456e-10	1.17956652599599e-07	12.1107706746322
"Chia"	-1.67217837530121	-0.302136902423945	-7.59812158083217	6.80901610709605e-10	8.98621307555511e-08	12.0653581953118
"Etv1"	-0.82269820943126	7.02713200080714	-7.56486270952601	7.67318209733655e-10	9.88169717035221e-08	12.0610787927814
"Vgf"	0.669963528717735	4.49577733946629	7.51457602371758	9.1933816430722e-10	1.14265075208534e-07	12.0552164649162
"Rab27b"	0.623505091694198	4.08463444246382	7.5008191920006	9.65959019515302e-10	1.17751141852213e-07	12.054614196066
"Ociad2"	-0.561879977327223	5.24186312117767	-7.51250030760578	9.26225245703652e-10	1.14265075208534e-07	11.988557105397
"Inpp4b"	-0.369710772105238	4.9223295788647	-7.51130758492166	9.30206010214125e-10	1.14265075208534e-07	11.9878982891461
"Zbtb16"	0.62997774549146	4.66474632363781	7.49459632269646	9.87820011513694e-10	1.18605246344828e-07	11.9758525479044
"Ramp1"	-0.626147462970542	4.03307046027261	-7.4732471895118	1.06666259225055e-09	1.27115932355589e-07	11.9681845375738
"Syt10"	-0.979108458225611	2.64363698099388	-7.4542059133831	1.14229446187935e-09	1.31232375983822e-07	11.9638536148282
"Fermt1"	1.80689825780975	-1.0198870482884	7.54169994966998	8.33926057966521e-10	1.04857993855649e-07	11.9179940372099
"Tnfsf15"	-0.971966265957807	1.29371066352814	-7.46520428359188	1.09797616292077e-09	1.27982345588918e-07	11.8822543964422
"Mme"	-0.77575328459374	2.94675115905409	-7.40451287354735	1.36599787313706e-09	1.55811571686613e-07	11.7975198574783
"Ephb1"	0.591083306864126	5.91573294032805	7.47094659136054	1.07552693487479e-09	1.27222886096411e-07	11.7760702845249
"Clmp"	-0.484424380699885	6.20996330562764	-7.45549603997665	1.13700432111547e-09	1.31232375983822e-07	11.7490726935669
"Pou5f1"	1.85629104106266	-1.44483639212215	7.46567268972824	1.09612747902098e-09	1.27982345588918e-07	11.6198625943315
"Plcl1"	0.363877803429432	5.92845419313539	7.40102225368657	1.38327177128702e-09	1.56662885926826e-07	11.5152275705224
"Ccdc33"	-1.84631813770917	0.904735716206417	-7.34451954550194	1.69540878447619e-09	1.89328551603499e-07	11.4029301703157
"Hrk"	-0.620726798767444	5.99802170749657	-7.35389335446076	1.6391209063556e-09	1.84331843335159e-07	11.337965515144
"Sntg2"	-0.878802269192674	1.6499109368051	-7.27840106952203	2.15148746593299e-09	2.27530485718436e-07	11.2604703733922
"Cd44"	1.44951454628482	5.03853018081156	7.29747737743911	2.00854442183345e-09	2.1852623552256e-07	11.2482812944373
"Npc1"	0.305327635120132	5.99823556434831	7.31866847939736	1.86088623859033e-09	2.04941326510683e-07	11.2162376369183
"LOC502894"	0.281208457175768	5.16152817724965	7.29582750737029	2.02052185775423e-09	2.1852623552256e-07	11.1987456316987
"Lrrc4"	0.255677052832223	6.74320266479092	7.31873682916176	1.860428032879e-09	2.04941326510683e-07	11.1826402923501
"Cyp2j10"	1.00069121910665	0.684900812449918	7.2814936222482	2.12764012029321e-09	2.26508567206416e-07	11.1354526712717
"Cdh9"	0.711945351828469	5.37413501746699	7.27569361736988	2.17258505998137e-09	2.28250071202911e-07	11.1162743088641
"Snca"	-0.598272733841857	8.19447137979474	-7.29517320065612	2.02529168121604e-09	2.1852623552256e-07	11.0775940442536
"Scn1a"	0.390136997768183	6.49766038454861	7.28181689260156	2.12516265772343e-09	2.26508567206416e-07	11.0598553252234
